recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration
0,1,0,0,135.03907,-45.99449,275.68596,1.84093,3.92792,0.72075,-3.38441,0.05061,1.46008,3.43917,-0.38189,-1.44788,-0.19502
0,1,1,1,135.0677,-46.1289,275.99277,1.84093,3.92792,0.72438,-3.33031,0.0489,1.50395,3.38774,-0.37273,-1.49062,-0.20565
0,1,2,2,135.09607,-46.26314,276.32133,1.84093,3.92792,0.72821,-3.27356,0.04545,1.55168,3.33384,-0.36335,-1.53724,-0.21602
0,1,3,3,135.12432,-46.39582,276.67232,1.84093,3.92792,0.73225,-3.21371,0.03996,1.60222,3.27703,-0.35389,-1.58672,-0.22585
0,1,4,4,135.15337,-46.52585,277.03755,1.84093,3.92792,0.73619,-3.15074,0.03218,1.65443,3.2172,-0.34462,-1.63802,-0.23464
0,1,5,5,135.18293,-46.65325,277.40251,1.84093,3.92792,0.73979,-3.0846,0.02208,1.70721,3.1542,-0.3362,-1.69014,-0.24185
0,1,6,6,135.21243,-46.77785,277.77319,1.84093,3.92792,0.74302,-3.01531,0.00965,1.75952,3.0881,-0.32836,-1.74204,-0.24754
0,1,7,7,135.24218,-46.89949,278.15037,1.84093,3.92792,0.74575,-2.94296,-0.00513,1.81034,3.01896,-0.32098,-1.79278,-0.25158
0,1,8,8,135.27187,-47.01772,278.53456,1.84093,3.92792,0.74793,-2.8678,-0.02227,1.8588,2.94704,-0.31405,-1.84152,-0.25383
0,1,9,9,135.30132,-47.13227,278.93031,1.84093,3.92792,0.74962,-2.79016,-0.0419,1.90424,2.8727,-0.30741,-1.88766,-0.25421
0,1,10,10,135.33059,-47.24306,279.32792,1.84093,3.92792,0.75079,-2.71042,-0.06424,1.94626,2.79628,-0.30155,-1.93093,-0.25207
0,1,11,11,135.36043,-47.35034,279.72823,1.84093,3.92792,0.75113,-2.62884,-0.08945,1.98462,2.71796,-0.29612,-1.9712,-0.24718
0,1,12,12,135.38995,-47.4545,280.11725,1.84093,3.92792,0.75064,-2.54548,-0.11767,2.01913,2.63776,-0.29182,-2.0084,-0.23885
0,1,13,13,135.41997,-47.55465,280.50231,1.84093,3.92792,0.74898,-2.46076,-0.14895,2.04968,2.55606,-0.2879,-2.04249,-0.22715
0,1,14,14,135.45065,-47.64943,280.87515,1.84093,3.92792,0.74574,-2.37563,-0.18311,2.07668,2.47366,-0.28413,-2.07393,-0.21198
0,1,15,15,135.48178,-47.74055,281.24926,1.84093,3.92792,0.74055,-2.29031,-0.2197,2.10098,2.39078,-0.27953,-2.10347,-0.19438
0,1,16,16,135.51329,-47.83006,281.63381,1.84093,3.92792,0.73307,-2.20419,-0.25801,2.12312,2.30674,-0.27352,-2.13153,-0.17543
0,1,17,17,135.54526,-47.92007,282.00525,1.84093,3.92792,0.72292,-2.11577,-0.29707,2.14247,2.21987,-0.26703,-2.1574,-0.15507
0,1,18,18,135.57553,-48.00576,282.36011,1.84093,3.92792,0.71057,-2.02547,-0.33597,2.15776,2.13062,-0.26054,-2.17967,-0.1337
0,1,19,19,135.60537,-48.08681,282.69662,1.84093,3.92792,0.69599,-1.93385,-0.37407,2.16811,2.03953,-0.25393,-2.19731,-0.11161
0,1,20,20,135.63423,-48.16433,283.02554,1.84093,3.92792,0.67935,-1.84106,-0.41076,2.17276,1.9468,-0.24693,-2.20943,-0.08952
0,1,21,21,135.66184,-48.23765,283.33768,1.84093,3.92792,0.66095,-1.74751,-0.44562,2.17105,1.85285,-0.23999,-2.2153,-0.06724
0,1,22,22,135.68897,-48.30653,283.63987,1.84093,3.92792,0.64073,-1.65374,-0.4783,2.16257,1.7582,-0.23267,-2.21437,-0.04516
0,1,23,23,135.71514,-48.3711,283.93902,1.84093,3.92792,0.61883,-1.56025,-0.5084,2.14713,1.66338,-0.22476,-2.20637,-0.02379
0,1,24,24,135.74009,-48.43163,284.22513,1.84093,3.92792,0.59549,-1.46745,-0.53562,2.12474,1.56878,-0.21663,-2.19121,-0.00292
0,1,25,25,135.76369,-48.48814,284.49333,1.84093,3.92792,0.57097,-1.37574,-0.55979,2.09553,1.47485,-0.2085,-2.16894,0.01753
0,1,26,26,135.78637,-48.54097,284.72881,1.84093,3.92792,0.54538,-1.2854,-0.58081,2.0597,1.38182,-0.20065,-2.13969,0.03806
0,1,27,27,135.80842,-48.58968,284.95436,1.84093,3.92792,0.51866,-1.19693,-0.59849,2.01757,1.29023,-0.19223,-2.10368,0.05758
0,1,28,28,135.82932,-48.63438,285.16244,1.84093,3.92792,0.49098,-1.11076,-0.61255,1.96967,1.20051,-0.18336,-2.06132,0.07605
0,1,29,29,135.8491,-48.67492,285.35296,1.84093,3.92792,0.46249,-1.02743,-0.62275,1.91676,1.11322,-0.17396,-2.01324,0.09304
0,1,30,30,135.86701,-48.71175,285.52108,1.84093,3.92792,0.43363,-0.94732,-0.62898,1.85986,1.0288,-0.16432,-1.96034,0.10836
0,1,31,31,135.88349,-48.74592,285.67334,1.84093,3.92792,0.40466,-0.87037,-0.63133,1.79996,0.94733,-0.15448,-1.90359,0.12159
0,1,32,32,135.89858,-48.77767,285.81064,1.84093,3.92792,0.37583,-0.79647,-0.62999,1.73783,0.86874,-0.14461,-1.84373,0.13266
0,1,33,33,135.91251,-48.8077,285.93766,1.84093,3.92792,0.3473,-0.72523,-0.62519,1.6739,0.79272,-0.13481,-1.78123,0.14152
0,1,34,34,135.92555,-48.83538,286.05034,1.84093,3.92792,0.3191,-0.65654,-0.61713,1.60823,0.71918,-0.12514,-1.71616,0.14843
0,1,35,35,135.93748,-48.86053,286.15514,1.84093,3.92792,0.29136,-0.59042,-0.60595,1.5408,0.64817,-0.11557,-1.64855,0.15331
0,1,36,36,135.94826,-48.88289,286.25616,1.84093,3.92792,0.26422,-0.52699,-0.59178,1.47157,0.57989,-0.10613,-1.57839,0.15618
0,1,37,37,135.95818,-48.90252,286.35035,1.84093,3.92792,0.23772,-0.46645,-0.57475,1.4006,0.5145,-0.09679,-1.50576,0.15723
0,1,38,38,135.967,-48.92016,286.44007,1.84093,3.92792,0.21199,-0.4087,-0.55494,1.32793,0.45199,-0.08765,-1.4307,0.15643
0,1,39,39,135.9744,-48.93555,286.52333,1.84093,3.92792,0.18731,-0.35382,-0.53252,1.25352,0.39248,-0.07894,-1.35321,0.15402
0,1,40,40,135.98075,-48.9489,286.59812,1.84093,3.92792,0.16381,-0.30184,-0.50775,1.17731,0.33605,-0.07076,-1.2733,0.15029
0,1,41,41,135.98615,-48.96037,286.65979,1.84093,3.92792,0.1416,-0.25276,-0.48094,1.09918,0.28275,-0.06319,-1.19092,0.14563
0,1,42,42,135.9903,-48.96892,286.71172,1.84093,3.92792,0.12091,-0.20709,-0.45245,1.01922,0.23311,-0.05625,-1.10627,0.14026
0,1,43,43,135.99344,-48.97503,286.74715,1.84093,3.92792,0.1019,-0.16516,-0.42278,0.93781,0.18751,-0.04999,-1.01986,0.13462
0,1,44,44,135.99674,-48.97835,286.76619,1.84093,3.92792,0.08425,-0.1275,-0.39228,0.85575,0.14638,-0.04389,-0.93253,0.12875
0,1,45,45,135.99933,-48.98014,286.76748,1.84093,3.92792,0.06801,-0.09417,-0.36114,0.77407,0.10978,-0.03795,-0.84534,0.12248
0,1,46,46,136.00081,-48.98088,286.77166,1.84093,3.92792,0.05339,-0.06507,-0.32964,0.69376,0.0777,-0.03234,-0.75937,0.11542
0,1,47,47,136.0017,-48.98074,286.7684,1.84093,3.92792,0.04043,-0.04006,-0.29816,0.61576,0.05002,-0.02715,-0.6756,0.10783
0,1,48,48,136.00211,-48.97986,286.76045,1.84093,3.92792,0.02911,-0.01896,-0.2671,0.5409,0.02655,-0.0224,-0.59494,0.09977
0,1,49,49,136.00205,-48.97841,286.75598,1.84093,3.92792,0.01944,-0.00157,-0.23684,0.46992,0.00711,-0.01816,-0.51825,0.09131
0,1,50,50,136.00172,-48.9766,286.74803,1.84093,3.92792,0.01134,0.01238,-0.20779,0.40349,-0.00859,-0.01443,-0.44626,0.0827
0,1,51,51,136.00125,-48.97472,286.73573,1.84093,3.92792,0.00471,0.02325,-0.18026,0.34212,-0.02091,-0.01121,-0.37954,0.07411
0,1,52,52,136.00091,-48.97263,286.71661,1.84093,3.92792,-0.00066,0.03131,-0.1545,0.2862,-0.03018,-0.00837,-0.31854,0.06565
0,1,53,53,136.00054,-48.97138,286.69592,1.84093,3.92792,-0.00492,0.03723,-0.13061,0.23585,-0.03708,-0.00599,-0.26343,0.05735
0,1,54,54,136.00002,-48.97007,286.68457,1.84093,3.92792,-0.00813,0.04128,-0.10869,0.19096,-0.04188,-0.00406,-0.21412,0.04929
0,1,55,55,135.99929,-48.96909,286.67752,1.84093,3.92792,-0.01034,0.04387,-0.08885,0.15129,-0.04499,-0.00268,-0.17042,0.04169
0,1,56,56,135.99879,-48.96833,286.67588,1.84093,3.92792,-0.01175,0.04531,-0.07115,0.11644,-0.04678,-0.00175,-0.13196,0.03474
0,1,57,57,135.99843,-48.96773,286.67746,1.84093,3.92792,-0.01252,0.04588,-0.05556,0.08595,-0.04754,-0.00118,-0.09828,0.02856
0,1,58,58,135.99792,-48.96709,286.68415,1.84093,3.92792,-0.01267,0.04574,-0.04204,0.05928,-0.04745,-0.00099,-0.06886,0.02325
0,1,59,59,135.99734,-48.96606,286.6836,1.84093,3.92792,-0.01228,0.04487,-0.03059,0.03603,-0.04651,-0.00112,-0.0433,0.01896
0,1,60,60,135.99725,-48.96443,286.67311,1.84093,3.92792,-0.01159,0.04315,-0.02114,0.01598,-0.04466,-0.00128,-0.02137,0.01567
0,1,61,61,135.99671,-48.96342,286.65407,1.84093,3.92792,-0.01051,0.04092,-0.01361,-0.00106,-0.04221,-0.00166,-0.00289,0.01334
0,1,62,62,135.99723,-48.96223,286.63462,1.84093,3.92792,-0.0095,0.03818,-0.00782,-0.01531,-0.0393,-0.00183,0.01243,0.01187
0,1,63,63,135.9979,-48.96113,286.61956,1.84093,3.92792,-0.00868,0.03504,-0.00337,-0.02695,-0.03606,-0.00171,0.02486,0.01093
0,1,64,64,135.99861,-48.96011,286.6171,1.84093,3.92792,-0.00811,0.03158,0.00016,-0.03614,-0.03258,-0.00126,0.03468,0.01018
0,1,65,65,135.9989,-48.95931,286.61838,1.84093,3.92792,-0.00764,0.02793,0.00311,-0.04303,-0.02895,-0.00067,0.04212,0.00933
0,1,66,66,135.99877,-48.95889,286.62123,1.84093,3.92792,-0.00712,0.02426,0.00563,-0.04785,-0.02529,-0.00012,0.04746,0.00829
0,1,67,67,135.99856,-48.95871,286.62628,1.84093,3.92792,-0.00653,0.02071,0.00777,-0.05087,-0.02171,0.00033,0.05096,0.00711
0,1,68,68,135.99856,-48.95847,286.62917,1.84093,3.92792,-0.00596,0.01725,0.0096,-0.05236,-0.01823,0.00078,0.05291,0.00579
0,1,69,69,135.99833,-48.95798,286.63521,1.84093,3.92792,-0.00532,0.01379,0.01117,-0.05245,-0.01474,0.00115,0.05345,0.00432
0,1,70,70,135.99801,-48.95747,286.65134,1.84093,3.92792,-0.00456,0.01033,0.01245,-0.05118,-0.0112,0.00141,0.05261,0.00274
0,1,71,71,135.99765,-48.95717,286.67505,1.84093,3.92792,-0.00368,0.00695,0.01339,-0.04857,-0.00771,0.00153,0.05037,0.00111
0,1,72,72,135.99734,-48.95733,286.69773,1.84093,3.92792,-0.00269,0.00384,0.01391,-0.0447,-0.00445,0.00148,0.04682,-0.00048
0,1,73,73,135.99704,-48.95814,286.7195,1.84093,3.92792,-0.0016,0.00125,0.01394,-0.03985,-0.00166,0.00118,0.04218,-0.00188
0,1,74,74,135.99705,-48.95913,286.72912,1.84093,3.92792,-0.00054,-0.00074,0.01345,-0.0344,0.00056,0.00073,0.03682,-0.00298
0,1,75,75,135.99728,-48.96007,286.73546,1.84093,3.92792,0.00041,-0.00217,0.0125,-0.02873,0.00219,0.00023,0.03111,-0.00369
0,1,76,76,135.99789,-48.96064,286.738,1.84093,3.92792,0.00109,-0.00318,0.01125,-0.0231,0.00336,-0.00013,0.02536,-0.00412
0,1,77,77,135.9985,-48.96105,286.73532,1.84093,3.92792,0.00149,-0.00386,0.00994,-0.01766,0.00412,-0.00032,0.01978,-0.00443
0,1,78,78,135.99862,-48.96162,286.72966,1.84093,3.92792,0.00182,-0.00416,0.00868,-0.01255,0.00451,-0.00055,0.01452,-0.0047
0,1,79,79,135.99872,-48.96201,286.72643,1.84093,3.92792,0.0021,-0.00417,0.0075,-0.00789,0.0046,-0.00081,0.00971,-0.00491
0,1,80,80,135.999,-48.96216,286.72799,1.84093,3.92792,0.00225,-0.004,0.00642,-0.00371,0.00448,-0.001,0.0054,-0.00508
0,1,81,81,135.99876,-48.96271,286.73801,1.84093,3.92792,0.00249,-0.00352,0.00543,-9e-05,0.00408,-0.00137,0.00165,-0.00517
0,1,82,82,135.99849,-48.9631,286.7516,1.84093,3.92792,0.00284,-0.00279,0.00438,0.00284,0.00348,-0.00191,-0.00146,-0.00501
0,1,83,83,135.99858,-48.9634,286.76392,1.84093,3.92792,0.00316,-0.00186,0.00319,0.005,0.00269,-0.00249,-0.00387,-0.0045
0,1,84,84,135.9989,-48.96347,286.77389,1.84093,3.92792,0.00335,-0.00085,0.0019,0.00635,0.00178,-0.00297,-0.00553,-0.00365
0,1,85,85,135.99938,-48.96344,286.77709,1.84093,3.92792,0.00336,0.0002,0.00061,0.0069,0.00078,-0.00327,-0.00643,-0.00257
0,1,86,86,135.99982,-48.9632,286.77698,1.84093,3.92792,0.00319,0.00117,-0.00056,0.0067,-0.0002,-0.00339,-0.00658,-0.0014
0,1,87,87,136.00015,-48.96274,286.77821,1.84093,3.92792,0.0029,0.00197,-0.00149,0.00589,-0.00105,-0.00334,-0.00607,-0.00027
0,1,88,88,136.00031,-48.96226,286.77592,1.84093,3.92792,0.00255,0.00259,-0.00214,0.00462,-0.00174,-0.00319,-0.00504,0.00071
0,1,89,89,136.00029,-48.96176,286.77741,1.84093,3.92792,0.00222,0.00299,-0.00252,0.00305,-0.00222,-0.00299,-0.00365,0.00153
0,1,90,90,136.00039,-48.96112,286.78056,1.84093,3.92792,0.00187,0.00312,-0.00266,0.00137,-0.00245,-0.00269,-0.00208,0.00215
0,1,91,91,136.00031,-48.9608,286.78491,1.84093,3.92792,0.00158,0.00311,-0.00258,-0.00028,-0.00253,-0.00241,-0.00047,0.00255
0,1,92,92,135.99999,-48.96063,286.78782,1.84093,3.92792,0.00144,0.00302,-0.00239,-0.00186,-0.00247,-0.00225,0.00109,0.00283
0,1,93,93,135.99983,-48.96036,286.78855,1.84093,3.92792,0.00139,0.0028,-0.00221,-0.00333,-0.00228,-0.00214,0.00255,0.00308
0,1,94,94,135.99988,-48.96016,286.78992,1.84093,3.92792,0.00136,0.00248,-0.00208,-0.00463,-0.00199,-0.00202,0.00383,0.00333
0,1,95,95,135.99993,-48.96002,286.79091,1.84093,3.92792,0.00133,0.0021,-0.00201,-0.00575,-0.00163,-0.00188,0.00492,0.00358
0,1,96,96,136.0,-48.95993,286.79078,1.84093,3.92792,0.0013,0.00167,-0.00198,-0.00666,-0.00122,-0.00173,0.0058,0.00382
0,1,97,97,136.00004,-48.95971,286.79218,1.84093,3.92792,0.00127,0.00114,-0.00201,-0.00734,-0.00072,-0.00155,0.00644,0.00404
0,1,98,98,136.00011,-48.95954,286.79257,1.84093,3.92792,0.00124,0.00052,-0.00209,-0.00772,-0.00014,-0.00133,0.00679,0.00423
0,1,99,99,135.99969,-48.95969,286.78971,1.84093,3.92792,0.00138,-4e-05,-0.0023,-0.00782,0.00043,-0.00131,0.00682,0.00446
0,1,100,100,135.99985,-48.95965,286.77748,1.84093,3.92792,0.00148,-0.00062,-0.00272,-0.00766,0.00102,-0.00124,0.00655,0.00481
0,1,101,101,135.99989,-48.96008,286.76836,1.84093,3.92792,0.00157,-0.00104,-0.00333,-0.00731,0.00145,-0.0012,0.00604,0.0053
0,1,102,102,136.00022,-48.96023,286.75367,1.84093,3.92792,0.00152,-0.0014,-0.00408,-0.00687,0.00178,-0.00105,0.0054,0.00589
0,1,103,103,136.00103,-48.96004,286.73589,1.84093,3.92792,0.00114,-0.00185,-0.00477,-0.0063,0.0021,-0.00056,0.00466,0.00638
0,1,104,104,136.00104,-48.96032,286.70788,1.84093,3.92792,0.00075,-0.00219,-0.00525,-0.00561,0.00231,-9e-05,0.00387,0.00664
0,1,105,105,136.00115,-48.96054,286.6814,1.84093,3.92792,0.0003,-0.00245,-0.00551,-0.00486,0.00243,0.00041,0.00307,0.00667
0,1,106,106,136.00084,-48.96087,286.65372,1.84093,3.92792,-3e-05,-0.00259,-0.0056,-0.00411,0.00248,0.00077,0.00233,0.00654
