Epoch,Violation Rate History
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,9.051319272478866e-05
7,0.00018102638544957732
8,0.00027153957817436597
9,0.00036205277089915465
10,0.0004525659636239433
11,0.0005430791563487319
12,0.0006335923490735206
13,0.0007241055417983093
14,0.000814618734523098
15,0.0009051319272478866
16,0.0009956451199726753
17,0.0010861583126974639
18,0.0011766715054222527
19,0.0012671846981470412
20,0.0013576978908718298
21,0.0014482110835966186
22,0.0015387242763214072
23,0.001629237469046196
24,0.0017197506617709845
25,0.0018102638544957733
26,0.0019007770472205619
27,0.0019912902399453506
28,0.002081803432670139
29,0.0021723166253949278
30,0.0022628298181197166
31,0.0023533430108445053
32,0.0024438562035692937
33,0.0025343693962940825
34,0.0026248825890188713
35,0.0027153957817436596
36,0.0028059089744684484
37,0.002896422167193237
38,0.002986935359918026
39,0.0030774485526428143
40,0.003167961745367603
41,0.003258474938092392
42,0.0033489881308171802
43,0.003439501323541969
44,0.003530014516266758
45,0.0036205277089915466
46,0.003711040901716335
47,0.0038015540944411237
48,0.0038920672871659125
49,0.003982580479890701
50,0.00407309367261549
51,0.004163606865340278
52,0.004254120058065067
53,0.0043446332507898556
54,0.004435146443514644
55,0.004525659636239433
56,0.004616172828964222
57,0.004706686021689011
58,0.004797199214413799
59,0.004887712407138587
60,0.004978225599863376
61,0.005068738792588165
62,0.005159251985312954
63,0.0052497651780377425
64,0.005340278370762531
65,0.005430791563487319
66,0.005521304756212108
67,0.005611817948936897
68,0.005702331141661686
69,0.005792844334386474
70,0.005883357527111263
71,0.005973870719836052
72,0.00606438391256084
73,0.006154897105285629
74,0.006245410298010417
75,0.006335923490735206
76,0.006426436683459995
77,0.006516949876184784
78,0.0066074630689095725
79,0.0066979762616343605
80,0.006788489454359149
81,0.006879002647083938
82,0.006969515839808727
83,0.007060029032533516
84,0.007150542225258304
85,0.007241055417983093
86,0.007331568610707881
87,0.00742208180343267
